resort|confirmation_no|resv_status|business_date|market_code|country_code|no_rooms_cal|rev_cal
Example|592183|CHECKED OUT|1/7/23|test19|QA|1|4410.69
Example|593246|CHECKED OUT|1/7/23|test7|RU|1|3500
Example|593263|CHECKED OUT|1/7/23|test4|AE|1|2651.99
Example|591422|CHECKED OUT|1/7/23|test20|US|1|2303.78
Example|589765|CHECKED OUT|1/7/23|test12|FR|1|3660.61
Example|589835|CHECKED OUT|1/7/23|test12|BD|1|5026.55
Example|589918|CHECKED OUT|1/7/23|test10|SE|1|5660.6
Example|592283|CHECKED OUT|1/7/23|test14|AT|1|5020
Example|591763|CHECKED OUT|1/7/23|test9|FR|1|2264.23
Example|592352|CHECKED OUT|1/7/23|test11|IN|1|4900
Example|592385|CHECKED OUT|1/7/23|test20|IN|1|2048.85
Example|591593|CHECKED OUT|1/7/23|test6|SA|1|3228.54
Example|592453|CHECKED OUT|1/7/23|test20|KR|1|2053.74
Example|586276|CHECKED OUT|1/7/23|test11|TH|1|3712
Example|590656|CHECKED OUT|1/7/23|test12|SA|1|3376.54
Example|591345|CHECKED OUT|1/7/23|test9|KR|1|2215.46
Example|590128|CHECKED OUT|1/7/23|test12|CH|1|2846.55
Example|590186|CHECKED OUT|1/7/23|test12|IN|1|2536.89
Example|591348|CHECKED OUT|1/7/23|test9|KR|1|2215.46
Example|575362|CHECKED OUT|1/7/23|test11|GB|1|4160.27
Example|591101|CHECKED OUT|1/7/23|test21|IN|1|3063.51
Example|591148|CHECKED OUT|1/7/23|test11|SE|1|2659
Example|591149|CHECKED OUT|1/7/23|test11|SE|1|2409
Example|592652|CHECKED OUT|1/7/23|test6|JP|1|3804.63
Example|590026|CHECKED OUT|1/7/23|test8|TH|1|2989.3
Example|593381|CHECKED OUT|1/7/23|test20|IN|1|2388.7
Example|589337|CHECKED OUT|1/7/23|test17|IN|1|2643.56
Example|593390|CHECKED OUT|1/7/23|test17|NO|1|1938.22
Example|593429|CHECKED OUT|1/7/23|test12|SA|1|2653.54
Example|592721|CHECKED OUT|1/7/23|test6|TH|1|3653.35
Example|588597|CHECKED OUT|1/7/23|test9|IN|1|2900.91
Example|592780|CHECKED OUT|1/7/23|test7|KW|1|4234
Example|590445|CHECKED OUT|1/7/23|test9|JP|1|2753.27
Example|590451|CHECKED OUT|1/7/23|test21|SG|1|4500
Example|590455|CHECKED OUT|1/7/23|test9|IN|1|2643.58
Example|592886|CHECKED OUT|1/7/23|test11|KR|1|5800
Example|575543|CHECKED OUT|1/7/23|test15|SG|1|3287.45
Example|575545|CHECKED OUT|1/7/23|test15|SG|1|1260.53
Example|582145|CHECKED OUT|1/7/23|test22|JP|1|3037.81
Example|582146|CHECKED OUT|1/7/23|test22|JP|1|3037.81
Example|582147|CHECKED OUT|1/7/23|test22|JP|1|3037.82
Example|591935|CHECKED OUT|1/7/23|test8|KR|1|2389.69
Example|592920|CHECKED OUT|1/7/23|test11|FR|1|4000
Example|582148|CHECKED OUT|1/7/23|test22|JP|1|3037.82
Example|592978|CHECKED OUT|1/7/23|test7|ES|1|3748
Example|593029|CHECKED OUT|1/7/23|test20|IN|1|2303.74
Example|593030|CHECKED OUT|1/7/23|test20|IN|1|2303.74
Example|593031|CHECKED OUT|1/7/23|test20|IN|1|2303.74
Example|593033|CHECKED OUT|1/7/23|test20|IN|1|2303.74
Example|592347|CHECKED OUT|1/7/23|test11|QA|1|3600
Example|592527|CHECKED OUT|1/7/23|test11|NL|1|4279.7
Example|593332|CHECKED OUT|1/7/23|test9|HK|1|2388.7
Example|592348|CHECKED OUT|1/7/23|test11|QA|1|3600
Example|591561|CHECKED OUT|1/7/23|test7|BD|1|3470
Example|593250|CHECKED OUT|1/7/23|test6|NULL|1|3159
Example|589850|CHECKED OUT|1/7/23|test19|US|1|3440.65
Example|593219|CHECKED OUT|2/7/23|test6|SA|0|-0.01
Example|588364|CHECKED OUT|2/7/23|test7|BD|0|0.01
Example|592873|CHECKED OUT|2/7/23|test29|TH|0|1949.03
Example|591042|CHECKED OUT|2/7/23|test8|AE|0|0.04
Example|591046|CHECKED OUT|2/7/23|test8|AE|0|0.04
Example|591906|CHECKED OUT|2/7/23|test7|OM|0|0.02
Example|589884|CHECKED OUT|2/7/23|test8|JP|0|0.02
Example|593028|CHECKED OUT|2/7/23|test20|GB|0|-0.08
Example|592296|CHECKED OUT|2/7/23|test4|HK|0|0.04
Example|591197|CHECKED OUT|2/7/23|test9|CN|0|0.07
Example|591233|CHECKED OUT|2/7/23|test15|SA|0|0.16
Example|591260|CHECKED OUT|2/7/23|test8|TW|0|0.01
Example|591265|CHECKED OUT|2/7/23|test11|KW|0|0.01
Example|590679|CHECKED OUT|2/7/23|test12|GB|0|0.01
Example|585718|CHECKED OUT|2/7/23|test11|QA|0|0.03
Example|590188|CHECKED OUT|2/7/23|test8|HK|0|0.04
Example|591358|CHECKED OUT|2/7/23|test9|RU|0|0.03
Example|591603|CHECKED OUT|2/7/23|test21|IT|0|849.62
Example|590773|CHECKED OUT|2/7/23|test10|IN|0|0.01
Example|590791|CHECKED OUT|2/7/23|test8|KR|0|-849.61
Example|590816|CHECKED OUT|2/7/23|test11|SA|0|0.17
Example|592139|CHECKED OUT|2/7/23|test8|TH|0|0.01
Example|592153|CHECKED OUT|2/7/23|test11|SA|0|0.02
Example|593457|CHECKED OUT|2/7/23|test11|GB|0|0.01
Example|588990|CHECKED OUT|2/7/23|test8|KR|0|0.01
Example|589014|CHECKED OUT|2/7/23|test20|CN|0|0.01
Example|589015|CHECKED OUT|2/7/23|test20|CN|0|0.01
Example|589016|CHECKED OUT|2/7/23|test20|CN|0|0.01
Example|591557|CHECKED OUT|2/7/23|test8|MY|0|0.03
Example|591574|CHECKED OUT|2/7/23|test8|CN|0|0.01
Example|592010|CHECKED OUT|2/7/23|test8|SA|0|1019.55
Example|592011|CHECKED OUT|2/7/23|test8|SA|0|0.02
Example|590845|CHECKED OUT|2/7/23|test8|JP|0|0.02
Example|587937|CHECKED OUT|2/7/23|test11|AU|0|0.03
Example|591765|CHECKED OUT|2/7/23|test9|CN|0|0.02
Example|591918|CHECKED OUT|2/7/23|test11|JP|0|0.01
Example|593324|CHECKED OUT|2/7/23|test9|TH|0|0.01
Example|593337|CHECKED OUT|2/7/23|test4|US|0|0.01
Example|593365|CHECKED OUT|2/7/23|test17|JP|0|0.01
Example|592352|CHECKED OUT|2/7/23|test11|IN|1|4050
Example|593031|CHECKED OUT|2/7/23|test20|IN|1|2303.74
Example|590026|CHECKED OUT|2/7/23|test8|TH|1|2347.86
Example|593543|CHECKED OUT|2/7/23|test4|JP|1|2380
Example|593565|CHECKED OUT|2/7/23|test20|AU|1|2048.85
Example|593606|CHECKED OUT|2/7/23|test4|AU|1|2380
Example|575362|CHECKED OUT|2/7/23|test11|GB|1|4160.27
Example|591149|CHECKED OUT|2/7/23|test11|SE|1|2206.49
Example|593640|CHECKED OUT|2/7/23|test4|TH|1|2380
